fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,15,KARNATAKA,1530,Yadgir,2354527,337.010933777505,24,473,436.774043556,17888,0,26216,1978512,375246,65275,242317,36022,0,7104.57580965599,80299,122740,153126,304255,41,273210,542643,44104,6667.80176609999,1072052,79,43.29,50.45,99.91,NA
2024-2025,Aug,15,KARNATAKA,1503,BENGALURU RURAL,755942,349.015940268265,36,363,739.425353545001,3655,0,9506,808381,115759,24896,46741,8239,182.2926,3743.096501645,21960,36512,57891,135600,90,120241,262081,13161,2821.3785481,417956,65,46.66,16.15,99.92,NA
2024-2025,Aug,15,KARNATAKA,1505,BALLARI,5013458,280.172724676883,48,2014,888.038119991,2987,0,14285,4886829,966721,69934,1526976,98080,298.86786,14878.4679395911,99842,215849,115713,333568,641,169606,479250,17272,13691.5619596001,2650742,42,37.41,35.81,99.91,NA
2024-2025,Aug,15,KARNATAKA,1516,HASSAN,2404139,344.925929985107,30,357,1874.695056804,12718,2,29062,1878686,264311,68584,30401,6842,421.19274,8775.96295380401,62147,112869,161316,398483,123,280726,648982,41780,6480.07515700001,961794,77,52.84,23.06,99.97,NA
2024-2025,Aug,15,KARNATAKA,1529,RAMANAGARA,2132473,348.845953690051,34,192,3271.398844673,19695,1,31511,1721833,251639,50464,28721,5238,299.37875,9577.32234447301,50122,80588,140524,313114,136,201026,430321,51206,6006.54474980001,922916,82,40.69,29.05,99.92,NA
2024-2025,Aug,15,KARNATAKA,1530,Yadgir,2354527,335.169430777378,24,470,436.774043556,17765,0,26130,1933602,366247,65241,235818,35993,0,6917.61686045599,79535,121481,153030,304002,38,273086,542327,43895,6480.84281689999,1050239,79,42.97,50.74,99.91,NA
2024-2025,Aug,15,KARNATAKA,1531,VIJAYANAGARA,5081394,305.676017546853,41,1212,2148.059686153,13456,0,19261,5266018,1291491,115022,1209369,93614,80.77156,18325.7853518534,126301,241621,173731,459824,1094,250212,646513,32717,16096.9541057004,2747555,52,12.01,67.91,100.05,NA
2024-2025,Nov,15,KARNATAKA,1501,BAGALKOTE,3871406,321.656397291814,34,1966,2852.603132971,12012,0,17008,3156506,532730,59271,245304,26122,627.94363,13633.650242871,90442,154223,153956,339259,511,275264,558297,29020,10153.1034798999,1746503,59,31.5,48.88,100,NA
2024-2025,Nov,15,KARNATAKA,1504,BELAGAVI,9495280,332.799308919195,34,2377,8385.640012216,35784,0,55308,7667005,863030,101840,767379,80853,1417.84125,35319.2209170162,222353,325159,406004,883722,1237,825422,1680897,91092,25515.7396548002,4460165,54,21.98,35.83,100.19,NA
2024-2025,Nov,15,KARNATAKA,1507,VIJAYPURA,3229927,346.802246860882,37,1152,3297.925137759,16604,1,35506,2981809,539623,66539,56450,5974,754.79575,14393.701496859,78730,121303,154351,328246,830,351422,773235,52110,10340.9806091,1584366,72,57.63,24.05,99.95,NA
