fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Oct,15,KARNATAKA,1521,MANDYA,1142705,366.850991236855,26,260,705.313883264,6114,0,18408,1241449,142490,33705,6686,1979,323.88457,5583.46641546403,46318,68038,119077,287255,64,343005,731027,24522,4554.26796220003,764782,70,63.95,67.79,100.52,NA
2025-2026,Oct,15,KARNATAKA,1523,RAICHUR,6618172,288.731899155091,27,861,2567.995595241,13974,0,30699,5067048,911057,126774,1283416,157961,252.8839,17451.0634167411,186115,347829,286523,668649,82,384997,863338,44673,14630.1839215001,2758459,51,44.41,74,100.15,NA
2025-2026,Oct,15,KARNATAKA,1524,SHIVAMOGGA,1409227,349.672095639721,24,404,557.461134796,3719,0,8594,1451008,324040,79555,81358,17510,531.85059,6163.081806296,59937,98384,133693,348053,74,250632,576848,12313,5073.7700815,811137,68,39.41,73.83,100.35,NA
2025-2026,Oct,15,KARNATAKA,1527,UTTARA KANNADA,779052,360.742403738181,26,90,161.282031988,5411,0,14323,770321,44799,13012,27035,7278,235.0199,3175.176423888,28647,47112,79225,201619,58,206363,457743,19734,2778.8744919,415365,75,35.95,62.99,100.35,NA
2025-2026,Oct,15,KARNATAKA,1501,BAGALKOTE,2417532,323.661635566082,27,1634,977.567767627001,5795,0,14545,2014807,299683,55077,185548,24947,433.70001,7932.42506732691,73599,121736,142110,318810,107,279082,566905,20340,6521.15728969991,1176849,58,40.58,73.33,100.54,NA
2025-2026,Oct,15,KARNATAKA,1502,BENGALURU,39769,326.461363439228,29,1,25.086019534,313,2,1274,18446,4009,2452,544,278,32.6429,117.947982634,632,1007,5386,12098,5,63244,141436,1587,60.2190631,9615,81,61.82,38.22,103.22,NA
2025-2026,Oct,15,KARNATAKA,1508,CHAMARAJA NAGARA,1110930,375.591017598376,26,357,490.106676364,4112,0,16107,1087089,327298,70321,108964,26292,231.47944,4804.59475366401,41175,63564,101151,241575,43,226170,519414,20219,4083.00863730001,628736,69,27.19,68.48,100.56,NA
2025-2026,Oct,15,KARNATAKA,1523,RAICHUR,6618172,287.910550096691,27,860,2310.308728895,13952,0,30566,5030552,902611,126844,1277104,158035,252.8839,17046.6825649951,185873,347627,286466,668994,79,384881,863600,44518,14483.4899361001,2739847,51,44.4,74.01,100.15,NA
2025-2026,Oct,15,KARNATAKA,1525,TUMAKURU,2432344,373.141343061408,34,429,3058.102059869,24529,0,37574,2824197,411219,74738,240116,39303,537.29256,14133.641236369,82817,140408,200805,482608,432,407211,898587,62103,10538.2466165,1438044,70,29.09,71.47,100.3,NA
2025-2026,Oct,15,KARNATAKA,1529,BENGALURU SOUTH,1922527,374.728169014083,30,124,1041.951725268,9093,1,22953,1003372,150668,41997,15545,4415,289.93357,5091.80281926798,33294,51873,121902,273177,45,202371,429936,32046,3759.91752399998,549587,79,48.59,68.07,101.81,NA
2025-2026,Oct,15,KARNATAKA,1504,BELAGAVI,6056730,346.162933872892,28,3204,639.509797292,19153,0,51602,5667086,644142,96520,640112,78209,874.25867,21131.1196299919,197025,281932,384746,837058,592,849939,1713304,70755,19617.3511626999,3479358,48,33.33,69.84,103,NA
2025-2026,Oct,15,KARNATAKA,1505,BALLARI,4038390,281.33420872269,34,1945,148.756781196,1561,0,8477,3236754,608824,70629,1043562,100148,227.41193,9482.26496539603,94436,197324,118747,339348,65,176097,491857,10038,9106.09625420003,1796507,37,82.47,92.5,100.05,NA
2025-2026,Oct,15,KARNATAKA,1509,CHIKKAMAGALURU,1209902,363.779663130175,32,115,439.03690177,10069,0,14803,1103542,154884,39900,43069,8084,327.15762,4780.65589187,33466,58484,87459,215493,94,180413,403189,24872,4014.4613701,585635,68,59.59,76.08,100.2,NA
2025-2026,Oct,15,KARNATAKA,1517,HAVERI,2250428,358.312776320579,29,758,448.400441021,5941,0,18622,1589802,261235,50340,255782,41267,382.97766,6527.8417852211,54283,97049,142835,349586,121,291308,642031,24563,5696.46368420009,799431,53,29.8,69.33,100.22,NA
2025-2026,Oct,15,KARNATAKA,1518,KODAGU,251918,354.912253741751,33,59,79.704687728,1347,2,3761,197902,13570,5531,9079,2765,98.72153,880.804666128,5902,9818,23589,56536,22,88720,192474,5108,702.3784484,97860,76,63.65,68.51,100.33,NA
2025-2026,Oct,15,KARNATAKA,1502,BENGALURU,39769,324.473641359987,29,1,25.086019534,313,2,1274,18559,4077,2452,551,278,32.6429,117.947982634,632,1008,5386,12098,5,63244,141436,1587,60.2190631,9661,81,61.92,38.41,103.22,NA
2025-2026,Oct,15,KARNATAKA,1511,DAKSHINA KANNADA,634411,365.790006292065,40,33,149.787458832,6151,0,9963,513345,20210,8945,25887,9099,195.8645,2223.416666632,12760,21502,57868,135859,156,173205,364760,16114,1877.7647078,272871,89,76.67,67.55,100.32,NA
2025-2026,Oct,15,KARNATAKA,1512,DAVANAGERE,1423001,368.186180683986,30,258,1016.429092904,3096,0,11510,1394501,334859,62296,250832,42058,465.95158,6616.740644404,45777,77539,112989,268449,72,242419,533390,14606,5134.3599715,735804,68,38.36,71.69,100.07,NA
2025-2026,Oct,15,KARNATAKA,1516,HASSAN,1969890,373.852914170735,31,295,2417.131754125,14058,3,28415,1773719,240646,63091,32251,6464,424.95236,9473.18428482502,55754,100970,151760,376314,232,284503,654899,42473,6631.10017070002,911019,69,35.68,58.59,100.22,NA
2025-2026,Oct,15,KARNATAKA,1523,RAICHUR,6618172,288.287465886431,27,860,2487.648411078,13954,0,30590,5042055,904693,126831,1279518,158028,252.8839,17276.1448991781,185905,347613,286482,668941,82,384898,863545,44544,14535.6125881001,2745327,51,44.45,74.02,100.15,NA
2025-2026,Oct,15,KARNATAKA,1524,SHIVAMOGGA,1409227,348.792483427031,24,402,488.888273332,3687,0,8546,1445426,323300,79542,81125,17506,365.38738,5895.812894832,59790,98135,133666,347974,72,250615,576785,12233,5041.5372415,808494,68,39.39,73.95,100.32,NA
2025-2026,Oct,15,KARNATAKA,1525,TUMAKURU,2432344,373.030495430962,34,429,3259.62224752301,24534,0,37743,2832544,412482,74741,241116,39312,537.29256,14363.167724023,82887,140541,200818,482633,433,407214,898594,62277,10566.2529165,1442328,70,29.06,71.52,100.3,NA
2025-2026,Oct,15,KARNATAKA,1528,CHIKKABALLAPURA,1420864,369.047743035632,33,1381,1180.660463895,6666,0,16172,1348794,273474,63805,181276,39778,230.35081,6388.70508909502,40763,67979,113243,285206,305,224412,536218,22838,4977.69381520002,720035,64,34.18,68.17,100.1,NA
2025-2026,Oct,15,KARNATAKA,1503,BENGALURU RURAL,852362,366.175866384972,36,372,680.485272613,2735,0,7219,732238,91533,21984,42780,7751,273.03134,3634.79545311299,19889,33025,53258,125176,63,122481,265547,9954,2681.27884049999,372064,62,47.6,69.4,100.04,NA
2025-2026,Oct,15,KARNATAKA,1508,CHAMARAJA NAGARA,1110930,375.196553904779,26,357,524.197370983,4115,0,16120,1092213,329044,70359,109549,26297,231.47944,4853.62234828301,41299,63732,101179,241663,43,226188,519493,20235,4097.94553730001,631828,69,27.26,68.51,100.56,NA
2025-2026,Oct,15,KARNATAKA,1509,CHIKKAMAGALURU,1209902,364.363741918742,33,116,731.220986714001,10117,0,14847,1148336,160364,39902,44993,8086,327.15762,5242.498626114,34108,59655,87508,215537,109,180416,403126,24964,4184.1200194,610097,68,59.15,76,100.21,NA
2025-2026,Oct,15,KARNATAKA,1511,DAKSHINA KANNADA,634411,365.064980045109,40,33,149.180190322,6171,0,9958,517417,20357,8947,26177,9100,195.8645,2233.952958122,12813,21607,57881,135909,157,173216,364807,16129,1888.9082678,275135,89,76.72,67.62,100.33,NA
2025-2026,Oct,15,KARNATAKA,1520,KOPPAL,4643948,316.9823194926,29,3100,617.070289884,7440,0,24241,5019171,840782,99254,732620,81059,448.05639,16975.0113349839,170631,351938,224254,581981,231,327827,851609,31681,15909.8846550999,2668706,55,41.76,85.32,100.03,NA
2025-2026,Oct,15,KARNATAKA,1522,MYSURU,1115980,378.866843152823,33,127,972.69766294,7974,0,21700,1226914,223693,58575,145276,35771,261.76903,5882.83703294002,36813,64096,118883,306361,181,351227,851292,29674,4648.37034000002,641887,76,32.99,56.52,100.64,NA
2025-2026,Oct,15,KARNATAKA,1513,DHARWAR,1107638,362.981705674906,28,176,210.383428807,10459,0,15365,1074132,92220,17699,69299,13696,212.4981,4321.78418360698,37893,65823,77207,202203,107,172906,409794,25824,3898.90265479998,518502,66,46.58,68.92,100.48,NA
2025-2026,Oct,15,KARNATAKA,1519,KOLAR,1836558,371.805128289452,39,1173,403.213497681,6236,1,19592,2320261,584890,78041,139029,20268,493.32845,9523.39133538113,59152,90843,118096,294851,343,247176,586093,25828,8626.84938770013,1269602,52,41.48,65.4,100.08,NA
2025-2026,Oct,15,KARNATAKA,1524,SHIVAMOGGA,1409227,348.561784528164,24,402,239.534703345,3676,0,8532,1436856,321844,79533,80807,17503,365.38738,5613.252998045,59626,97851,133636,347874,70,250607,576742,12208,5008.3309147,803859,68,39.36,74,100.31,NA
2019-2020,Feb,15,KARNATAKA,1510,CHITRADURGA,4861249,263.50317938142,51,335,10312.362733283,13515,0,20544,5762492,1135928,105348,1304322,95812,585.66993,26082.382294883,112450,202586,180799,476167,7612,288412,729633,34059,15184.3496316,2973664,65,60.9,61.95,112.67,NA
2019-2020,Feb,15,KARNATAKA,1512,DAVANAGERE,3138540,284.222269913072,48,227,8716.795367107,8542,0,15775,3194836,641604,77124,508540,56735,419,18216.230766307,66288,129794,136050,344172,3215,251738,608906,24317,9080.4353992,1495859,66,59.13,61.41,101.38,NA
2019-2020,Feb,15,KARNATAKA,1513,DHARWAR,1770433,248.777817197998,43,145,2659.828395898,5212,0,14090,1736644,146939,17736,98070,11980,129.99584,7110.209271598,40226,75976,72121,204001,3271,138833,364394,19302,4320.3850357,726803,77,49.13,48.16,109.77,NA
2019-2020,Feb,15,KARNATAKA,1516,HASSAN,3529883,256.133224314739,50,504,9782.84351957,18490,0,18179,4364760,588627,64986,72274,7251,180,21142.44404117,85682,168123,156410,397198,4814,249573,607218,36669,11179.6005216,2088821,76,54.15,50.3,107.6,NA
2019-2020,Feb,15,KARNATAKA,1526,UDUPI,389295,260.861540278188,37,22,470.240760595,2752,1,4736,395487,22030,5044,17004,4605,50,1551.914240395,10423,18776,29794,73243,325,70773,156676,7488,1031.6734798,250931,94,80.61,56.32,100.6,NA
2022-2023,March,15,KARNATAKA,1510,CHITRADURGA,5200000,307.462100786753,41,367,14724.638723956,39756,0,34941,4485272,865051,97170,1184219,90468,671.32647,29186.476711156,107598,182524,184041,444364,673,326050,779060,74697,13790.5115172,2436332,66,66.58,72.58,105.52,NA
2022-2023,March,15,KARNATAKA,1516,HASSAN,4500000,309.162331357701,42,635,8367.88428556201,40230,0,61766,4546561,669850,73072,74063,7182,1139.60837,23563.746639762,107046,198827,169576,416497,1427,277033,650251,101996,14056.2539842,2333432,82,58.12,57.06,101.77,NA
2022-2023,March,15,KARNATAKA,1524,SHIVAMOGGA,3000000,306.907328461918,33,619,4833.158790492,19266,0,29088,3243274,650128,89751,171403,20133,648.44917,15435.453548592,96311,172980,161709,407626,435,244362,568278,48354,9953.8455881,1663730,78,74.11,73.07,101.89,NA
2022-2023,March,15,KARNATAKA,1529,RAMANAGARA,5100000,309.204920844898,45,369,15081.267183037,84977,0,90365,4273319,576125,53470,69285,5481,745.37269,29039.952504437,94287,156419,147436,327715,1170,203536,450381,175342,13213.3126314,2248739,90,63.38,60.99,103.58,NA
2022-2023,March,15,KARNATAKA,1530,Yadgir,4700000,311.223170903448,42,586,9334.16758644498,34778,1,35309,4824338,978549,61946,605880,33681,434.53701,24783.162295145,112805,180841,146261,284515,585,260184,520360,70087,15014.4576987,2481294,79,68.76,71.5,100.09,NA
2020-2021,July,15,KARNATAKA,1505,BALLARI,6647742,239.914393882596,41,612,3788.304942114,7556,1,16894,6266187,1456556,141049,1580079,150025,300.628,19122.417502714,149821,322926,198952,604773,1584,302477,899348,24450,15033.4845606,3120587,57,90.22,95.1,100,NA
2020-2021,July,15,KARNATAKA,1521,MANDYA,1474589,241.961546319016,27,178,1108.818560591,4225,0,24911,1465532,161748,42065,7835,2796,99.79,4754.632449591,53384,90023,141820,349806,70,290216,660753,29136,3546.023889,733435,76,73.29,72.86,100.99,NA
2020-2021,July,15,KARNATAKA,1523,RAICHUR,6768668,212.846300876764,37,586,6215.67345615799,8861,0,18770,6760429,1130732,106049,1438686,131250,0.05,20605.046506058,180581,369566,239284,619971,237,309961,775496,27631,14389.3230499,3466393,60,79.05,84.61,101.22,NA
2020-2021,July,15,KARNATAKA,1527,UTTARA KANNADA,884723,269.199557545338,28,89,575.33158544,2221,0,10991,884407,64208,15297,48101,8420,0,2956.15131634,31520,53125,78586,201737,48,166231,396519,13212,2380.8197309,437006,77,65.39,73.73,100.11,NA
2021-2022,June,15,KARNATAKA,1503,BENGALURU RURAL,554744,243.455283352552,28,304,422.148545466,2359,0,11768,554133,75411,25874,29791,7562,79.25,1850.464610766,19525,35910,57481,138703,40,100131,235688,14127,1349.0660653,264715,75,76.18,77.17,99.96,NA
2021-2022,June,15,KARNATAKA,1510,CHITRADURGA,1985657,244.093875182441,24,244,27.18,3680,0,50621,1980090,380257,99372,496874,91019,210.5,5070.9584131,79433,139492,184931,455443,42,318250,790422,54301,4833.2784131,1018915,68,95.65,94.01,100.91,NA
2021-2022,June,15,KARNATAKA,1521,MANDYA,846834,233.278952073072,20,143,108.70680632,2888,0,31362,845412,84294,42042,4520,2767,149.17,2230.04506062,41727,68330,149382,366929,14,313565,706429,34250,1972.1682543,444392,82,85.1,75.37,100.19,NA
2021-2022,June,15,KARNATAKA,1529,RAMANAGARA,1501430,197.966526052468,29,176,366.969572205,3613,0,36735,1496269,199538,51391,25435,5428,90,3419.081331905,50945,89149,142211,326480,23,197652,457549,40348,2962.1117597,746771,79,75.92,71.37,99.95,NA
2021-2022,June,15,KARNATAKA,1530,Yadgir,1170111,226.972534397676,20,156,146.652830099,3498,1,28236,1159526,195580,51754,102016,26610,139.58,2918.038379299,55780,85350,133949,259354,19,251519,511659,31734,2631.8055492,595723,71,80.98,80.59,100.03,NA
2021-2022,June,15,KARNATAKA,1531,VIJAYANAGARA,3451619,232.557354491421,35,609,11.88,3898,0,24407,3797130,899244,110704,812039,88135,0,8842.38507460009,106080,216215,158668,439015,404,228073,630198,28305,8830.50507460009,1874931,67,86.24,93.15,100.05,NA
2020-2021,Aug,15,KARNATAKA,1501,BAGALKOTE,2337291,248.534372529135,32,1257,2517.400409595,8499,0,14955,2335216,352252,49204,145918,20436,0,8321.21484239497,70779,121924,125237,289789,374,217770,483416,23454,5803.81443279997,1117026,68,57.07,67.58,100.97,NA
2020-2021,Aug,15,KARNATAKA,1504,BELAGAVI,5832782,261.868399107376,31,1649,4399.064415038,11224,0,31010,5830897,620532,100330,609365,72475,150,19818.341042538,184127,288795,371060,857557,574,688334,1518967,42234,15269.2766275,3029742,74,72.49,79.19,100.14,NA
2020-2021,Aug,15,KARNATAKA,1507,VIJAYPURA,2666464,256.984939800595,34,342,3253.000610205,10522,3,17564,2664229,455445,66225,29068,4283,77.5,10177.167902005,76360,129842,141959,331542,270,276863,681731,28086,6846.6672918,1130985,75,79.3,90.74,101.06,NA
2020-2021,Aug,15,KARNATAKA,1511,DAKSHINA KANNADA,698140,253.142593652099,39,49,504.975110436,4002,0,15095,698089,44170,14645,45100,12224,70.3,2342.435711036,17456,30496,63154,148135,213,135615,302229,19097,1767.1606006,298931,88,69.55,63.36,100.12,NA
2020-2021,Aug,15,KARNATAKA,1517,HAVERI,2519346,256.21881456109,36,336,1712.334736802,5352,0,27711,2517751,357129,52830,312119,40629,65.9066,8229.193102602,68797,135926,137550,350542,196,228319,554996,33063,6450.9517658,1112629,81,65.86,67.94,104.14,NA
2020-2021,Aug,15,KARNATAKA,1523,RAICHUR,7334884,235.854175877636,39,611,6215.67345615799,10470,0,18110,7326139,1232667,106230,1553259,131553,510.05,24004.7282182581,185934,380715,239990,621293,323,311324,778133,28580,17279.0047621001,3745346,60,76.35,82.44,101.73,NA
2020-2021,Aug,15,KARNATAKA,1526,UDUPI,341572,274.10708829214,32,29,194.22318308,1455,1,5046,341480,15853,4592,14110,4438,30,1160.24406818,10421,18307,30902,75469,103,74121,163389,6501,936.0208851,211054,93,84.14,77.25,100.06,NA
2023-2024,March,15,KARNATAKA,1501,BAGALKOTE,5500000,303.349408202808,48,2510,9611.94364313299,19307,0,18799,5366450,892092,60311,406310,26153,646.34626,26537.3842196326,110690,195540,157425,342427,2307,271364,548239,38106,16279.0943164996,2877390,61,32.5,35.02,99.74,NA
2023-2024,March,15,KARNATAKA,1509,CHIKKAMAGALURU,3200000,314.251943082836,49,224,6464.95029080499,28043,0,24252,3154971,485964,46609,99156,9169,592.58319,16972.091152005,63213,119538,98307,239216,907,177058,396735,52295,9914.55767119999,1633281,74,41.83,14.79,100.28,NA
2023-2024,March,15,KARNATAKA,1511,DAKSHINA KANNADA,1400000,315.672760223162,47,98,1731.303554325,20204,0,14869,1390739,87916,12408,87620,11781,347.37114,6468.858883125,29173,49849,72643,167759,312,168710,354342,35073,4390.1841888,755501,91,59.91,2.89,100.11,NA
2023-2024,March,15,KARNATAKA,1512,DAVANAGERE,3400000,309.944388234433,45,368,5391.06690902298,17746,0,20138,3412026,768613,66883,530325,44716,693.11834,16659.5683611228,75014,134907,123879,289520,1245,236935,519308,37884,10575.3831120998,1758200,80,34.27,27.91,100.05,NA
2023-2024,March,15,KARNATAKA,1518,KODAGU,520000,314.460533824809,40,148,909.301321133002,5731,1,5278,511385,45813,8289,26006,4190,186.50431,2703.909632033,12776,21669,32206,76372,63,87427,190494,11009,1608.1040009,264270,78,33.37,16.11,100.38,NA
2023-2024,March,15,KARNATAKA,1523,RAICHUR,12300000,267.578491285188,52,1049,16313.1553074677,37375,0,42857,12447886,2258999,123387,2853212,152064,621.20469,50242.2255531678,238478,478177,278697,648493,4038,364427,821100,80232,33307.8655557002,6462276,67,23.97,48.69,99.98,NA
2023-2024,March,15,KARNATAKA,1525,TUMAKURU,6350000,314.984195419113,46,759,12047.937116407,75620,1,73678,6306333,865903,85805,509051,43516,966.10943,32877.998806907,136185,246983,227514,538548,1468,395811,874365,149298,19863.9522605,3193003,86,36.71,25.77,99.98,NA
2023-2024,March,15,KARNATAKA,1527,UTTARA KANNADA,1850000,311.397419457462,36,151,2843.34722401899,20526,0,23647,1842008,107265,15771,64752,8630,345.9937,8925.30630221899,49903,85768,92794,231227,286,203403,449379,44173,5735.9653782,978654,81,32.38,27.28,100.25,NA
2019-2020,July,15,KARNATAKA,1503,BENGALURU RURAL,456468,242.751232034277,31,207,731.931441235,2683,1,9786,490587,84317,23023,26309,6734,0,1922.837427935,15624,29382,45945,115479,26,82226,201868,12469,1190.9059867,231731,84,68.3,59.85,99.99,NA
2019-2020,July,15,KARNATAKA,1508,CHAMARAJA NAGARA,1180793,259.910227225855,33,240,1541.522831001,3175,0,10512,1284933,321380,62582,119031,22318,0,4881.195111001,38141,68907,85967,216938,47,165905,421350,13687,3339.67228,645764,75,47.18,44.23,108.06,NA
2019-2020,July,15,KARNATAKA,1514,GADAG,1738162,252.060174032468,30,441,2676.6811321142,2701,0,15748,1890222,280717,50146,164445,23740,0,7441.1779949142,62003,120661,106506,294557,65,144037,375868,18449,4764.4968628,862178,69,77.42,81.64,100.84,NA
2019-2020,July,15,KARNATAKA,1516,HASSAN,1601054,251.105678904231,35,312,5215.216213937,6516,0,26913,2088542,293491,64933,36764,7253,70,10529.663782237,58383,112273,155749,396384,227,247040,603183,33429,5244.4475683,1006731,76,46.91,41.83,102.93,NA
2019-2020,July,15,KARNATAKA,1525,TUMAKURU,1810748,268.55791326797,32,435,5112.529041459,13468,1,27641,2202070,282371,74363,141932,38546,200,11226.362282159,67301,124234,179959,473535,256,363883,936533,41109,5913.8332407,1089355,81,60.04,39.94,100.04,NA
2019-2020,July,15,KARNATAKA,1530,Yadgir,731214,346.421058687231,26,60,1759.455188173,3652,0,9152,817418,146634,35443,78422,17745,200,4791.163277673,30340,42196,87612,172969,28,185680,385062,12804,2831.70808949999,406256,68,75.9,75.51,99.88,NA
2022-2023,Feb,15,KARNATAKA,1510,CHITRADURGA,4908800,292.592391804656,40,355,14720.088723956,38124,0,35580,4202191,810920,97161,1124606,90468,512.98534,27528.365219056,103320,174758,184028,444342,599,325812,787159,73704,12295.2911551,2278699,66,69.98,76.32,105.31,NA
2022-2023,Feb,15,KARNATAKA,1519,KOLAR,4153600,303.752715334192,44,469,9186.770562498,16893,0,49365,3536828,869317,94534,264155,23387,650.94992,20580.931569198,80311,131046,137675,343986,478,236880,594511,66258,10743.2110867,1876497,77,60.72,64.57,101.47,NA
2022-2023,Feb,15,KARNATAKA,1521,MANDYA,3115200,298.22342176001,35,413,5317.16013096601,16370,0,35490,2420725,262011,43970,13430,2824,455.64965,12991.978707366,69106,110395,155081,377504,357,343200,753277,51860,7219.1689264,1367834,78,48.75,55.61,101.66,NA
2022-2023,Feb,15,KARNATAKA,1525,TUMAKURU,5664000,300.972371387936,36,552,8919.973312933,39638,0,78734,3740590,493928,82660,260242,41895,743.21767,20921.333409833,103163,181478,216735,512657,460,412367,983777,118372,11258.1424269,1880762,83,48.82,53.53,100.15,NA
2022-2023,Feb,15,KARNATAKA,1526,UDUPI,660800,299.832433381818,38,74,1606.883256816,7035,3,10722,861439,44539,6539,41573,6536,151.64213,4341.398902616,22629,39309,45483,108481,328,118813,242678,17757,2582.8735158,539402,87,77.01,60.94,101.6,NA
2023-2024,June,15,KARNATAKA,1501,BAGALKOTE,2333894,282.340804093928,28,1865,681.4452247,2227,0,29937,2333894,380475,59947,193461,26033,120.74596,7391.72627099995,80931,139769,155794,339771,213,266284,561255,32164,6589.53508629995,1250638,59,30.7,33.54,99.7,NA
2023-2024,June,15,KARNATAKA,1506,BIDAR,1873030,250.844521756123,24,305,5278.349309067,5153,0,44154,1872967,488029,80564,362884,52840,280.63647,10257.220892867,76409,119830,153220,301040,27,238695,467065,49307,4698.2351138,1012871,60,25.15,37.95,99.97,NA
2023-2024,June,15,KARNATAKA,1509,CHIKKAMAGALURU,607362,264.968491476253,23,87,1486.747898098,5879,0,31582,607362,78221,46326,17671,9111,150.09999,3246.165817298,25699,45720,97326,237268,16,174522,394989,37461,1609.3179292,304738,70,31.81,13.69,100.4,NA
2023-2024,June,15,KARNATAKA,1522,MYSURU,531734,271.858140538459,21,72,1051.548483038,5685,0,55512,529734,88476,79678,46230,46456,88.41694,2580.090425238,25201,43688,157234,401758,74,338236,834889,61197,1440.1250022,265879,81,32.08,12.89,100.31,NA
2023-2024,June,15,KARNATAKA,1525,TUMAKURU,892685,270.22222204545,21,177,3613.936538697,24705,0,73263,892547,114157,84960,62403,43062,224.86123,6250.658104897,41726,70532,223680,531469,18,387826,907125,97968,2411.8603362,455462,82,25.38,18.19,99.87,NA
2023-2024,June,15,KARNATAKA,1530,Yadgir,1296512,260.210127487932,20,330,33.96407,9477,0,34879,1296358,264510,65193,160496,35459,0,3407.21887450001,64809,99122,153503,301251,13,262697,525673,44356,3373.25480450001,692990,78,33.17,41.64,99.92,NA
2020-2021,Dec,15,KARNATAKA,1501,BAGALKOTE,3788090,265.940411085072,41,1683,2778.515737976,12921,0,18362,3780580,594032,50440,228626,20894,245,13077.605731376,91563,159700,129218,296883,2894,226009,497209,31283,10054.0899934,1787671,74,53.1,62.3,101.02,NA
2020-2021,Dec,15,KARNATAKA,1502,BENGALURU,91363,266.416011629053,38,21,8.60687814,567,2,2083,91323,18317,5903,1374,679,14.59,266.49597244,2399,4675,8240,20498,23,49146,120805,2650,243.2990943,43468,83,72.65,60.23,108.46,NA
2020-2021,Dec,15,KARNATAKA,1504,BELAGAVI,9208634,264.653906257861,39,2083,8635.692094935,17903,0,35515,9202713,924576,101176,957480,73542,495.36,33486.391531135,233176,374569,378930,870438,7890,703585,1542622,53418,24355.3394362,4738867,78,65.09,69.59,101.7,NA
2020-2021,Dec,15,KARNATAKA,1517,HAVERI,3688606,275.228563741716,42,431,2330.199733604,8452,0,29177,3684769,506152,53104,443066,40822,208.08744,12679.823969504,86026,171724,138863,353097,1126,232231,562629,37629,10141.5367959,1615130,83,65.51,65.59,103.56,NA
2020-2021,Dec,15,KARNATAKA,1519,KOLAR,5029202,273.624278958635,51,563,8633.468479562,11653,0,12264,5027749,1180999,92142,309950,22222,381.27909,22771.889518662,98295,175205,130002,348083,868,225870,581789,23917,13757.1419491,2490373,79,74.94,78.6,100.84,NA
2020-2021,Dec,15,KARNATAKA,1522,MYSURU,3566282,275.048683769852,41,253,1448.598003561,9181,0,16155,3559142,578481,74297,343674,43795,0,11237.971228061,85009,168468,144240,380628,1233,296180,775162,25336,9789.3732245,1675457,79,63.86,62.57,104.38,NA
2020-2021,Dec,15,KARNATAKA,1524,SHIVAMOGGA,3506295,275.639476129039,33,572,1852.607371596,7027,0,15756,3504928,690624,84810,160635,18795,414.38,11927.952549496,104473,190645,152718,392315,965,225610,537150,22783,9660.96517790001,1719341,75,83.16,82.71,101.93,NA
2020-2021,Dec,15,KARNATAKA,1525,TUMAKURU,6485126,275.022556569469,46,882,5335.758274789,16787,1,33699,6471954,824259,81072,431781,41080,405,23540.091625589,139090,268830,207064,536219,879,413719,1030853,50486,17799.3333508,3110173,83,74.79,69.85,100.26,NA
2020-2021,Dec,15,KARNATAKA,1526,UDUPI,529834,268.309626741683,36,45,268.516639317,2958,1,5517,529660,25401,4689,25353,4500,58.09,1747.735408317,14388,25689,31981,77636,334,77358,169874,8475,1421.128769,324821,91,82.6,67.78,100.43,NA
2020-2021,Dec,15,KARNATAKA,1528,CHIKKABALLAPURA,6019812,271.252770275971,55,3394,6870.385847759,15023,0,29470,5950714,1254851,76501,789338,47522,207.5,23219.362423959,106534,209246,128635,336470,1716,206088,525396,44493,16141.4765762,2942076,80,83.14,84.16,101.15,NA
2020-2021,Nov,15,KARNATAKA,1507,VIJAYPURA,3687906,265.218413144227,40,409,4092.825684505,14709,3,16224,3682225,635106,66727,41021,4330,162.5,14021.264397905,91445,155975,144105,334920,545,282592,690662,30933,9765.9387134,1552689,77,73.85,86.83,101.45,NA
2020-2021,Nov,15,KARNATAKA,1513,DHARWAR,1629445,267.061108868207,38,157,1457.844221067,9229,0,22053,1628841,146004,17972,85450,11948,152,5959.84505736699,42636,81480,73085,204307,206,143096,372328,31282,4350.00083629999,683330,81,59.35,61.24,100.52,NA
2020-2021,Nov,15,KARNATAKA,1515,KALABURAGI,4954157,275.158606077397,32,477,1971.721252084,12355,0,12049,4919606,1216777,121969,72651,6436,435.10001,15943.540556184,150567,262857,206697,480925,214,347857,791344,24404,13536.7192941,2518950,58,74.06,88.01,101.19,NA
